,cidade,bairro,estado,tipo_imovel,m2,quartos,suites,banheiros,vagas,preco
0, Balneário Camboriú ,Nações , SC,Apartamento,64.91,2,1,1,1,786433.15
1, Balneário Camboriú ,Nações , SC,Apartamento,98.83,2,2,1,1,907063.86
2, Itajaí ,Praia Brava , SC,Apartamento,121.22,3,1,1,2,1568373.98
3, Itajaí ,Praia Brava , SC,Apartamento,93.92,2,2,1,1,1139371.54
4, Balneário Camboriú ,Nações , SC,Apartamento,62.4,2,1,1,1,735743.13
5, Itajaí ,Praia Brava , SC,Apartamento,93.92,2,2,1,1,1251281.64
6, Itajaí ,Praia Brava , SC,Apartamento,121.22,3,1,1,2,1549392.8
7, Itajaí ,Praia Brava , SC,Apartamento,93.92,2,2,1,1,1127714.23
10, Balneário Camboriú ,Nações , SC,Apartamento,64.91,2,1,1,1,793882.88
12, Balneário Camboriú ,Nações , SC,Apartamento,70.4,2,2,1,1,862409.28
13, Balneário Camboriú ,Nações , SC,Apartamento,68.45,2,2,1,1,863863.55
14, Balneário Camboriú ,Centro , SC,Apartamento,168.0,3,3,4,2,1780000.0
16, Itajaí ,Praia Brava , SC,Apartamento,185.12,3,3,1,3,5785929.29
17, Itajaí ,Praia Brava , SC,Apartamento,210.0,4,4,1,4,5945337.37
18, Itajaí ,Praia Brava , SC,Apartamento,173.0,3,3,1,3,3847060.72
19, Camboriú ,Tabuleiro , SC,Apartamento,93.94,3,1,1,2,931767.12
20, Camboriú ,Tabuleiro , SC,Apartamento,72.74,2,1,1,1,816553.01
21, Camboriú ,Tabuleiro , SC,Apartamento,96.93,3,1,1,2,969367.79
24, Balneário Camboriú ,Centro , SC,Apartamento,169.7,3,3,1,2,2530000.0
25, Camboriú ,Tabuleiro , SC,Apartamento,95.23,3,1,1,2,878437.63
26, Camboriú ,Tabuleiro , SC,Apartamento,62.07,2,1,1,1,638924.68
27, Camboriú ,Tabuleiro , SC,Apartamento,64.99,2,1,1,1,659174.17
28, Camboriú ,Tabuleiro , SC,Apartamento,63.8,2,1,1,1,640438.92
29, Camboriú ,Tabuleiro , SC,Apartamento,98.84,2,2,1,1,999631.44
30, Camboriú ,Tabuleiro , SC,Apartamento,93.87,2,2,1,1,951639.17
31, Camboriú ,Tabuleiro , SC,Apartamento,99.52,2,2,1,1,824391.36
32, Balneário Camboriú ,Centro , SC,Apartamento,287.34,4,4,1,5,14750000.0
33, Balneário Camboriú ,Centro , SC,Apartamento,128.0,3,3,4,2,2690000.0
34, Balneário Camboriú ,Centro , SC,Apartamento,353.06,3,3,1,2,3210000.0
35, Camboriú ,Tabuleiro , SC,Apartamento,73.75,2,1,1,1,776519.56
36, Camboriú ,Tabuleiro , SC,Apartamento,72.36,2,1,1,1,760066.04
37, Balneário Camboriú ,Centro , SC,Apartamento,270.0,3,1,3,3,2650000.0
38, Balneário Camboriú ,Centro , SC,Apartamento,130.0,2,1,2,1,980000.0
