,local,total_casos,a_cada_milhao,total_mortes,populacao,letalidade %,mortalidade %
0,Acre,160106,202640,2041,776463,1.27,0.26
1,Alagoas,336780,101387,7230,3300938,2.15,0.22
2,Amapá,183666,244562,2167,734995,1.18,0.29
3,Amazonas,625260,161410,14421,3807923,2.31,0.38
4,Bahia,1783192,117881,31349,15044127,1.76,0.21
5,Ceará,1446481,163577,28091,8778575,1.94,0.32
6,Distrito Federal,893250,194373,11838,2789761,1.33,0.42
7,Espírito Santo,1317879,339218,15001,3839363,1.14,0.39
8,Goiás,1862817,285567,27885,6434052,1.5,0.43
9,Maranhão,491004,71670,11043,6794298,2.25,0.16
10,Mato Grosso,872602,270628,15067,3182114,1.73,0.47
11,Mato Grosso do Sul,601158,229480,10969,2587267,1.82,0.42
12,Minas Gerais,4122029,197518,64799,20593366,1.57,0.31
13,Paraná,2903031,261966,45919,10997462,1.58,0.42
14,Paraíba,703683,178424,10540,3914418,1.5,0.27
15,Pará,864379,107058,18996,7969655,2.2,0.24
16,Pernambuco,1138859,122752,22620,9208551,1.99,0.25
17,Piauí,418951,131139,8052,3184165,1.92,0.25
18,Rio Grande do Norte,584163,171384,8700,3373960,1.49,0.26
19,Rio Grande do Sul,2940791,260558,41716,11164050,1.42,0.37
20,Rio de Janeiro,2719059,165180,76636,16369178,2.82,0.47
21,Rondônia,478445,273627,7418,1728214,1.55,0.43
22,Roraima,181684,365608,2180,488072,1.2,0.45
23,Santa Catarina,1971482,275163,22615,6634250,1.15,0.34
24,Sergipe,359383,161915,6497,2195662,1.81,0.3
25,São Paulo,6389460,145099,178178,43663672,2.79,0.41
26,Tocantins,363257,242676,4220,1478163,1.16,0.29
