,estado,populacao
0,Acre,776463
1,Alagoas,3300938
2,Amapá,734995
3,Amazonas,3807923
4,Bahia,15044127
5,Ceará,8778575
6,Distrito Federal,2789761
7,Espírito Santo,3839363
8,Goiás,6434052
9,Maranhão,6794298
10,Mato Grosso,3182114
11,Mato Grosso do Sul,2587267
12,Minas Gerais,20593366
13,Paraná,10997462
14,Paraíba,3914418
15,Pará,7969655
16,Pernambuco,9208551
17,Piauí,3184165
18,Rio Grande do Norte,3373960
19,Rio Grande do Sul,11164050
20,Rio de Janeiro,16369178
21,Rondônia,1728214
22,Roraima,488072
23,Santa Catarina,6634250
24,Sergipe,2195662
25,São Paulo,43663672
26,Tocantins,1478163
