,estado,2ª dose,2ª dose %,reforco,reforco %,1ª dose,1ª dose %,total vascinas
0,São Paulo,41923014,89.2,28631980,60.92,43105900,91.72,83742803
1,Minas Gerais,17330069,80.51,11782249,54.73,18312594,85.07,35642663
2,Rio de Janeiro,13683291,77.94,8518921,48.52,14603299,83.18,27884034
3,Bahia,11226993,74.66,7710188,51.28,11717323,77.93,22679938
4,Paraná,9778886,83.75,6831798,58.51,10224412,87.57,19663680
5,Rio Grande do Sul,9472602,82.31,6085003,52.88,9849826,85.59,18959629
6,Pernambuco,7991191,82.11,4519829,46.44,8528534,87.64,16377597
7,Ceará,8076454,86.91,5391468,58.02,8294079,89.25,16087812
8,Pará,6636878,74.89,2492989,28.13,6869551,77.52,13506429
9,Santa Catarina,6051146,81.52,3206726,43.2,6358381,85.66,12151670
10,Goiás,5342715,73.19,3001131,41.11,5920789,81.11,11263504
11,Maranhão,4903627,68.19,2190968,30.47,5797633,80.62,10570892
12,Paraíba,3397474,64.44,2114142,51.82,3495148,76.71,6805790
13,Espírito Santo,3227524,77.74,1957707,47.15,3469351,83.56,6585652
14,Amazonas,2922899,67.48,1691944,39.06,3361647,77.61,6209127
15,Piauí,2921881,88.65,1970073,59.78,3123498,94.77,5989434
16,Rio Grande do Norte,2780349,77.51,1892404,52.76,2966630,82.71,5678854
17,Mato Grosso,2543348,70.5,1237270,34.3,2847379,78.93,5287160
18,Distrito Federal,2480046,79.23,1527089,48.79,2566016,81.98,4984915
19,Alagoas,2355718,69.73,1272731,37.67,2642076,78.21,4941707
20,Mato Grosso do Sul,2236412,77.97,1194753,41.65,2265615,78.99,4244041
21,Sergipe,1895581,80.39,1196735,50.76,2012950,85.37,3868406
22,Rondônia,1162646,63.41,547907,29.88,1324561,72.24,2487207
23,Tocantins,1051800,64.76,477794,29.42,1176243,72.42,2170295
24,Acre,597935,65.05,284813,30.99,696619,75.79,1280931
25,Amapá,514824,57.63,269240,30.14,614022,68.74,1111564
26,Roraima,363279,54.2,140078,20.9,461632,68.87,812577
